epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1265,1.77362,4.97358,0.03423,0.16692,0.19408,0.24952,0.13433,0.06843,1.76595,3.78083,0.05547,0.16956,0.000324074,0.000324074,0.0679167
2,48.3161,1.60084,2.20648,0.03318,0.14239,0.2657,0.42879,0.24918,0.12919,1.64992,3.69607,0.04695,0.15226,0.000655238,0.000655238,0.0349145
3,63.5662,1.57025,1.94667,0.03193,0.13822,0.45746,0.34422,0.34028,0.18411,1.66764,2.47771,0.05149,0.13953,0.000984202,0.000984202,0.00191013
4,78.6158,1.52079,1.74569,0.03063,0.13813,0.30408,0.4416,0.28789,0.17418,1.67435,3.22709,0.0492,0.14555,0.0009901,0.0009901,0.0009901
5,93.4975,1.51808,1.63627,0.02992,0.13242,0.47987,0.44201,0.42936,0.26221,1.51696,2.00029,0.04432,0.14632,0.0009868,0.0009868,0.0009868
6,108.572,1.47213,1.54427,0.02907,0.13871,0.70211,0.48337,0.526,0.27217,1.56279,2.25628,0.04136,0.128,0.0009835,0.0009835,0.0009835
7,123.695,1.46352,1.44472,0.02838,0.13558,0.55205,0.54004,0.57393,0.34827,1.4987,1.84062,0.0434,0.12665,0.0009802,0.0009802,0.0009802
8,138.709,1.40637,1.36388,0.02792,0.12111,0.71209,0.50371,0.5351,0.31759,1.60115,1.90847,0.04644,0.10039,0.0009769,0.0009769,0.0009769
9,153.467,1.39581,1.28556,0.02893,0.1155,0.60981,0.57428,0.58975,0.37071,1.36771,1.60373,0.04243,0.10912,0.0009736,0.0009736,0.0009736
10,168.515,1.41181,1.27255,0.02867,0.12185,0.63818,0.56895,0.6001,0.37811,1.45979,1.66759,0.04389,0.08657,0.0009703,0.0009703,0.0009703
11,183.565,1.34522,1.2333,0.02778,0.11488,0.70698,0.56529,0.65728,0.39554,1.42284,1.68859,0.04641,0.11772,0.000967,0.000967,0.000967
12,198.595,1.35646,1.20118,0.02922,0.11037,0.68964,0.56297,0.63275,0.40548,1.34812,1.63799,0.04225,0.10524,0.0009637,0.0009637,0.0009637
13,213.694,1.31392,1.13873,0.0277,0.11156,0.73403,0.63267,0.73482,0.48256,1.33626,1.34899,0.0413,0.10015,0.0009604,0.0009604,0.0009604
14,228.753,1.33833,1.12592,0.02798,0.11112,0.71178,0.6195,0.65442,0.41796,1.41385,1.5408,0.04227,0.09724,0.0009571,0.0009571,0.0009571
15,243.594,1.30212,1.09232,0.02813,0.10648,0.72316,0.58193,0.64764,0.42502,1.41011,1.60399,0.04211,0.09316,0.0009538,0.0009538,0.0009538
16,258.458,1.31487,1.0979,0.0277,0.11043,0.67687,0.56594,0.62634,0.37784,1.47765,1.72691,0.04404,0.08967,0.0009505,0.0009505,0.0009505
17,273.365,1.30169,1.0878,0.02778,0.10319,0.7234,0.65193,0.69905,0.46383,1.32806,1.44662,0.04034,0.08712,0.0009472,0.0009472,0.0009472
18,288.217,1.27999,1.04591,0.02746,0.10137,0.64789,0.64977,0.66727,0.43114,1.39697,1.34704,0.04245,0.11279,0.0009439,0.0009439,0.0009439
19,303.045,1.24237,1.01905,0.02671,0.10177,0.70538,0.62508,0.66606,0.43829,1.41338,1.49608,0.03897,0.13753,0.0009406,0.0009406,0.0009406
20,317.874,1.27018,1.0628,0.02713,0.10341,0.74543,0.58313,0.64726,0.44726,1.34978,1.56356,0.04041,0.12171,0.0009373,0.0009373,0.0009373
21,332.711,1.24047,0.98709,0.02583,0.09802,0.68569,0.61535,0.65942,0.44989,1.35561,1.47645,0.04244,0.10838,0.000934,0.000934,0.000934
22,347.515,1.26168,0.995,0.02553,0.10328,0.78371,0.55982,0.66301,0.46639,1.31786,1.48775,0.03903,0.10004,0.0009307,0.0009307,0.0009307
23,362.275,1.19516,0.94599,0.02518,0.09359,0.82638,0.61061,0.697,0.46837,1.326,1.51282,0.0411,0.13458,0.0009274,0.0009274,0.0009274
24,377.073,1.21996,0.95382,0.02524,0.09741,0.66258,0.68196,0.67339,0.44811,1.41561,1.53573,0.04206,0.12746,0.0009241,0.0009241,0.0009241
25,391.832,1.18453,0.91466,0.02614,0.09956,0.82338,0.58106,0.67129,0.46359,1.34411,1.62339,0.04196,0.10231,0.0009208,0.0009208,0.0009208
26,406.64,1.22772,0.99739,0.02494,0.09475,0.65423,0.68281,0.68711,0.45943,1.35143,1.36569,0.03814,0.08238,0.0009175,0.0009175,0.0009175
27,421.423,1.22213,0.94458,0.02588,0.09076,0.73559,0.62818,0.68131,0.46348,1.32669,1.43806,0.03848,0.11099,0.0009142,0.0009142,0.0009142
28,436.253,1.19328,0.93532,0.0263,0.08706,0.84721,0.62045,0.72142,0.49216,1.34692,1.35146,0.03727,0.11948,0.0009109,0.0009109,0.0009109
