epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6525,2.02077,4.56255,0.06319,0.18682,0.33972,0.05556,0.00444,0.00089,2.1982,5.35655,0.04193,0.21518,0.00014,0.00014,0.08614
2,30.0972,1.77411,3.73288,0.06229,0.12862,0,0,0,0,2.66605,4.38791,0.05089,0.20588,0.000289043,0.000289043,0.071289
3,33.7794,1.69014,3.41826,0.0683,0.12438,0,0,0,0,2.33788,4.57588,0.04771,0.14024,0.000437096,0.000437096,0.0564371
4,37.118,1.63212,3.21796,0.06959,0.12954,0.16667,0.04167,0.03167,0.00533,2.00235,3.99158,0.03502,0.09085,0.000584159,0.000584159,0.0415842
5,40.4022,1.62521,2.985,0.05872,0.12425,0.22506,0.26425,0.12112,0.05912,1.91139,3.57117,0.03011,0.10622,0.000730232,0.000730232,0.0267302
6,43.6558,1.59591,2.81916,0.05974,0.10951,0.35562,0.16801,0.15807,0.07238,1.71297,3.37155,0.02699,0.07673,0.000875315,0.000875315,0.0118753
7,47.0213,1.52862,2.71186,0.0595,0.13131,0.40166,0.20227,0.20621,0.09481,1.79004,2.98046,0.02876,0.07056,0.0009802,0.0009802,0.0009802
8,50.2653,1.52382,2.55303,0.06792,0.1158,0.43314,0.25994,0.23239,0.10894,1.62663,3.07798,0.02693,0.08554,0.0009769,0.0009769,0.0009769
9,53.7518,1.54736,2.50671,0.05593,0.11574,0.47855,0.24045,0.28922,0.14184,1.77063,2.94417,0.0292,0.08673,0.0009736,0.0009736,0.0009736
10,57.1286,1.56344,2.36918,0.06007,0.11976,0.38701,0.25579,0.25535,0.14653,1.75572,2.93778,0.03089,0.09785,0.0009703,0.0009703,0.0009703
11,60.4796,1.57785,2.38824,0.05888,0.11455,0.43686,0.30166,0.28566,0.15957,1.72288,2.90248,0.02855,0.09254,0.000967,0.000967,0.000967
12,63.7573,1.48778,2.24935,0.06535,0.1159,0.53176,0.26829,0.29331,0.15552,1.84395,2.72943,0.03205,0.0943,0.0009637,0.0009637,0.0009637
13,66.9868,1.54761,2.27216,0.0611,0.11129,0.42066,0.30263,0.30894,0.16059,1.7742,2.6681,0.03265,0.08705,0.0009604,0.0009604,0.0009604
14,70.2624,1.51962,2.14276,0.06112,0.11175,0.44351,0.30263,0.31226,0.17831,1.70347,2.6376,0.02931,0.0862,0.0009571,0.0009571,0.0009571
15,73.7829,1.4671,2.05747,0.05893,0.10928,0.41244,0.3555,0.32096,0.19949,1.82792,2.559,0.0304,0.09844,0.0009538,0.0009538,0.0009538
16,77.0199,1.45595,1.9454,0.06048,0.10721,0.47861,0.3443,0.31925,0.19962,1.76805,2.52412,0.02943,0.08923,0.0009505,0.0009505,0.0009505
17,80.1979,1.46392,1.91713,0.06412,0.10916,0.36583,0.36513,0.32191,0.2062,1.67218,2.37876,0.02999,0.07829,0.0009472,0.0009472,0.0009472
18,83.4752,1.43239,1.81875,0.06404,0.09951,0.34817,0.32018,0.32247,0.21574,1.60502,2.37069,0.02764,0.07074,0.0009439,0.0009439,0.0009439
19,86.7457,1.45935,1.87317,0.06237,0.10981,0.43586,0.37707,0.35908,0.23987,1.64862,2.35877,0.02685,0.08177,0.0009406,0.0009406,0.0009406
20,90.1599,1.39251,1.72888,0.0643,0.10241,0.55463,0.32194,0.36905,0.2366,1.63572,2.29888,0.02561,0.0859,0.0009373,0.0009373,0.0009373
21,93.3404,1.42155,1.73619,0.06202,0.09558,0.54612,0.34268,0.37002,0.23962,1.6234,2.24471,0.02563,0.08626,0.000934,0.000934,0.000934
22,96.8141,1.45466,1.7561,0.0586,0.09744,0.62467,0.3328,0.37138,0.25526,1.5738,2.25469,0.02515,0.08044,0.0009307,0.0009307,0.0009307
23,100.055,1.45803,1.73532,0.0647,0.10647,0.73811,0.31339,0.38242,0.26664,1.52081,2.29668,0.02517,0.07983,0.0009274,0.0009274,0.0009274
24,103.288,1.45911,1.65768,0.0616,0.11099,0.54804,0.37707,0.40341,0.27672,1.54795,2.26417,0.02693,0.07556,0.0009241,0.0009241,0.0009241
25,106.488,1.42038,1.63104,0.06338,0.10509,0.59582,0.32325,0.41094,0.25875,1.58119,2.25385,0.02623,0.06897,0.0009208,0.0009208,0.0009208
26,109.682,1.39871,1.5478,0.0614,0.09803,0.56154,0.40022,0.42062,0.27573,1.60703,2.23158,0.02723,0.0713,0.0009175,0.0009175,0.0009175
27,113.447,1.37794,1.49431,0.05741,0.10961,0.71138,0.3397,0.41867,0.27899,1.67517,2.11992,0.02721,0.06765,0.0009142,0.0009142,0.0009142
28,117.094,1.34911,1.52077,0.0581,0.11189,0.5134,0.36513,0.41562,0.26091,1.63594,2.25549,0.02645,0.07295,0.0009109,0.0009109,0.0009109
29,120.523,1.37454,1.50009,0.06101,0.09992,0.60528,0.45348,0.44873,0.29205,1.65919,2.20891,0.02824,0.06037,0.0009076,0.0009076,0.0009076
30,123.739,1.35105,1.42309,0.06363,0.10921,0.57634,0.43999,0.45405,0.28802,1.6443,2.24579,0.02785,0.05872,0.0009043,0.0009043,0.0009043
31,127.133,1.38508,1.46975,0.06332,0.09549,0.51509,0.38512,0.40724,0.26683,1.67604,2.26046,0.02735,0.06111,0.000901,0.000901,0.000901
32,130.4,1.33088,1.34499,0.0577,0.09651,0.48924,0.5032,0.42379,0.27732,1.64258,2.2834,0.02758,0.05964,0.0008977,0.0008977,0.0008977
33,133.657,1.38092,1.43396,0.06171,0.09566,0.63986,0.4215,0.47114,0.30783,1.6767,2.08641,0.02852,0.05868,0.0008944,0.0008944,0.0008944
34,137.202,1.35693,1.37351,0.06022,0.10217,0.73699,0.44822,0.46368,0.29044,1.66542,2.0721,0.02801,0.05993,0.0008911,0.0008911,0.0008911
35,140.492,1.35501,1.3395,0.05703,0.0986,0.66086,0.43068,0.4598,0.30647,1.60421,2.08374,0.02548,0.06906,0.0008878,0.0008878,0.0008878
36,143.825,1.37246,1.34266,0.06285,0.09131,0.56591,0.46905,0.44932,0.29286,1.57079,2.10914,0.02643,0.0653,0.0008845,0.0008845,0.0008845
