epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,137.062,1.86331,4.06043,0.06655,0.14336,0.01077,0.14493,0.01797,0.00341,2.96698,5.27474,0.05771,0.30042,0.00014,0.00014,0.08614
2,268.216,1.73409,3.47212,0.06897,0.1364,0.01667,0.01449,0.00375,0.00075,2.4984,4.95401,0.04667,0.32503,0.000289043,0.000289043,0.071289
3,398.648,1.66852,3.25926,0.06635,0.11559,0,0,0,0,1.84065,4.89515,0.04011,0.15485,0.000437096,0.000437096,0.0564371
4,532.767,1.69979,3.02599,0.05947,0.12274,0.08333,0.01667,0.015,0.0075,1.70414,4.57685,0.03241,0.13311,0.000584159,0.000584159,0.0415842
5,663.623,1.6867,2.91788,0.063,0.11334,0.2798,0.0998,0.06288,0.03104,1.66247,3.98396,0.03238,0.12505,0.000730232,0.000730232,0.0267302
6,795.698,1.65007,2.79146,0.06452,0.12432,0.18588,0.33438,0.17897,0.09072,1.75168,3.39916,0.03295,0.12041,0.000875315,0.000875315,0.0118753
7,926.599,1.65011,2.6568,0.06386,0.12639,0.42923,0.26868,0.25378,0.13599,1.77736,2.9227,0.02954,0.11361,0.0009802,0.0009802,0.0009802
8,1059.27,1.58946,2.53956,0.06235,0.12567,0.55967,0.2992,0.29865,0.1597,1.75762,2.76238,0.02832,0.13893,0.0009769,0.0009769,0.0009769
9,1190.92,1.55745,2.4694,0.0689,0.1182,0.42146,0.32551,0.3036,0.15408,1.6688,2.76183,0.02736,0.13191,0.0009736,0.0009736,0.0009736
10,1323.73,1.56645,2.41165,0.05721,0.12215,0.49503,0.2996,0.31081,0.1767,1.61957,2.62583,0.02763,0.1041,0.0009703,0.0009703,0.0009703
11,1456.16,1.58342,2.28185,0.06217,0.10737,0.50513,0.35367,0.371,0.23132,1.56684,2.51159,0.02499,0.11006,0.000967,0.000967,0.000967
12,1587.5,1.545,2.21815,0.06032,0.10167,0.5744,0.36914,0.43887,0.26155,1.56709,2.39095,0.02532,0.11458,0.0009637,0.0009637,0.0009637
